id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,location_ch2,cell_id_ch2,cell_id_ch2_viz,lys_id_in_cell,lysosome_signal_individual,cell_signal_total,lysosome_core_signal,cell_volume_um3,lysosome_core_volume_um3,cell_id_serial,lys_id_serial
27,6.9700003,13.859868,14.540107,0.19157712161540985,0.3831542432308197,0.029452322059347835,23474,cell,4,4,7,1037526.0,79154600.0,14243890.0,12.622070386806739,0.5346642275006385,4,7
28,9.690001,1.0628732,17.048487,0.2826237976551056,0.5652475953102112,0.0945615957918727,24102,cell,0,0,0,3199175.0,0.0,0.0,0.0,0.0,0,0
29,2.55,6.3772397,6.589814,0.18768760561943054,0.3753752112388611,0.027694618761692064,22864,cell,1,1,4,857792.0,37296312.0,3772936.0,13.987000558391703,0.20802740345858173,1,4
30,7.48,6.249695,25.42393,0.22976770997047424,0.4595354199409485,0.05081074897037156,23117,cell,5,5,4,1982974.0,99700696.0,19869696.0,19.691929321481847,0.47873957841723835,5,4
31,7.65,11.946695,14.285017,0.16241362690925598,0.32482725381851196,0.017945518204864907,23536,cell,4,4,10,491861.0,79154600.0,14243890.0,12.622070386806739,0.5346642275006385,4,10
32,9.690001,0.25508958,17.473637,0.1875346451997757,0.3750692903995514,0.02762696279063643,23869,cell,0,0,0,890640.0,0.0,0.0,0.0,0.0,0,0
33,5.61,22.702974,14.157473,0.17650717496871948,0.35301434993743896,0.02303433620381649,26686,cell,3,3,4,860374.0,70086768.0,23486260.0,10.91268125026303,0.7491444750842279,3,4
34,5.61,4.8041873,16.708368,0.17598088085651398,0.35196176171302795,0.022828904476590573,23759,cell,2,2,9,738440.0,975052.0,37053868.0,0.01966581066669015,0.6793923028758113,2,9
35,3.74,2.5934107,13.5622635,0.17356820404529572,0.34713640809059143,0.021902773823884163,22246,cell,2,2,6,511179.0,975052.0,37053868.0,0.01966581066669015,0.6793923028758113,2,6
36,8.16,9.353285,26.571833,0.21104778349399567,0.42209556698799133,0.03937594551826133,22621,cell,5,5,8,1211119.0,99700696.0,19869696.0,19.691929321481847,0.47873957841723835,5,8
37,8.67,14.837711,9.05568,0.20775265991687775,0.4155053198337555,0.0375602425373336,21679,cell,6,6,5,1084620.0,61076672.0,14819896.0,12.676458644431804,0.47628135208390204,6,5
38,6.63,11.351487,14.072442,0.1889781504869461,0.3779563009738922,0.028269842708820197,22352,cell,4,4,4,796553.0,79154600.0,14243890.0,12.622070386806739,0.5346642275006385,4,4
39,5.78,4.336523,16.198189,0.2933855354785919,0.5867710709571838,0.10578027811587322,23230,cell,2,2,10,3679728.0,975052.0,37053868.0,0.01966581066669015,0.6793923028758113,2,10
40,6.9700003,21.087406,14.965256,0.19971266388893127,0.39942532777786255,0.03336609815745757,21131,cell,3,3,8,979259.0,70086768.0,23486260.0,10.91268125026303,0.7491444750842279,3,8
41,10.54,20.577227,24.446085,0.13562099635601044,0.2712419927120209,0.010448871812400883,20478,cell,0,0,0,289946.0,0.0,0.0,0.0,0.0,0,0
42,7.48,9.013165,27.549675,0.17357653379440308,0.34715306758880615,0.021905927397447775,20263,cell,5,5,6,396219.0,99700696.0,19869696.0,19.691929321481847,0.47873957841723835,5,6
43,9.86,18.323935,12.2443,0.1437276005744934,0.2874552011489868,0.012436813894145226,18936,cell,0,0,0,256068.0,0.0,0.0,0.0,0.0,0,0
44,2.21,6.0371203,8.673046,0.18272557854652405,0.3654511570930481,0.025555633205652132,19248,cell,1,1,2,597623.0,37296312.0,3772936.0,13.987000558391703,0.20802740345858173,1,2
45,11.05,22.107765,23.170637,0.14051207900047302,0.28102415800094604,0.0116206277148217,19904,cell,0,0,0,276521.0,0.0,0.0,0.0,0.0,0,0
46,2.21,8.077837,7.822747,0.16164544224739075,0.3232908844947815,0.017692084321687812,18443,cell,1,1,3,293161.0,37296312.0,3772936.0,13.987000558391703,0.20802740345858173,1,3
47,10.54,17.558666,22.23531,0.15031173825263977,0.30062347650527954,0.014225492163819357,18493,cell,0,0,0,239305.0,0.0,0.0,0.0,0.0,0,0
48,9.690001,0.21257466,14.795197,0.20640847086906433,0.41281694173812866,0.036835889266376286,18445,cell,0,0,0,838381.0,0.0,0.0,0.0,0.0,0,0
49,8.67,14.242502,7.7802324,0.14536787569522858,0.29073575139045715,0.012867493019628057,17207,cell,6,6,4,211267.0,61076672.0,14819896.0,12.676458644431804,0.47628135208390204,6,4
50,7.14,20.704771,14.837711,0.33988383412361145,0.6797676682472229,0.16446751689109734,17503,cell,3,3,9,2058851.0,70086768.0,23486260.0,10.91268125026303,0.7491444750842279,3,9
51,6.9700003,10.883822,13.307174,0.14341291785240173,0.28682583570480347,0.012355303704205328,16830,cell,4,4,6,204595.0,79154600.0,14243890.0,12.622070386806739,0.5346642275006385,4,6
52,10.03,15.26286,27.677221,0.12859851121902466,0.2571970224380493,0.008908332770313861,16089,cell,0,0,0,134628.0,0.0,0.0,0.0,0.0,0,0
53,8.67,17.133518,25.84908,0.16679337620735168,0.33358675241470337,0.01943681085263363,15936,cell,0,0,0,209119.0,0.0,0.0,0.0,0.0,0,0
54,4.08,7.5251427,8.970651,0.21855129301548004,0.4371025860309601,0.043726906115698405,16265,cell,1,1,7,767568.0,37296312.0,3772936.0,13.987000558391703,0.20802740345858173,1,7
55,5.78,10.713762,10.161069,0.15169620513916016,0.3033924102783203,0.01462220131566189,15444,cell,0,0,0,157826.0,0.0,0.0,0.0,0.0,0,0
56,3.23,3.613769,13.349689,0.08702568709850311,0.17405137419700623,0.002760774862422213,16840,cell,2,2,4,81521.0,975052.0,37053868.0,0.01966581066669015,0.6793923028758113,2,4
57,5.78,19.769444,13.647293,0.32626408338546753,0.6525281667709351,0.14547769499369623,16166,cell,3,3,5,2026181.0,70086768.0,23486260.0,10.91268125026303,0.7491444750842279,3,5
58,5.61,21.044891,14.710166,0.218754842877388,0.437509685754776,0.04384919637283766,16677,cell,3,3,3,832701.0,70086768.0,23486260.0,10.91268125026303,0.7491444750842279,3,3
59,1.7,5.9946055,7.0999937,0.19808721542358398,0.39617443084716797,0.032558017356511745,16395,cell,1,1,1,477679.0,37296312.0,3772936.0,13.987000558391703,0.20802740345858173,1,1
60,8.84,0.85029864,14.837711,0.12961451709270477,0.25922903418540955,0.009121148946111053,15846,cell,0,0,0,138424.0,0.0,0.0,0.0,0.0,0,0
61,3.74,6.5472994,8.758076,0.2187557816505432,0.4375115633010864,0.04384976090376935,15325,cell,1,1,6,634808.0,37296312.0,3772936.0,13.987000558391703,0.20802740345858173,1,6
62,3.4,8.715561,8.5880165,0.1394386887550354,0.2788773775100708,0.011356342437151295,14991,cell,1,1,5,144305.0,37296312.0,3772936.0,13.987000558391703,0.20802740345858173,1,5
63,7.31,10.883822,25.976624,0.16165444254875183,0.32330888509750366,0.017695039733629972,14759,cell,5,5,3,160694.0,99700696.0,19869696.0,19.691929321481847,0.47873957841723835,5,3
64,5.78,12.882024,12.711965,0.396,0.792,0.26012025260249794,15959,cell,4,4,1,2481659.0,79154600.0,14243890.0,12.622070386806739,0.5346642275006385,4,1
65,11.39,21.044891,15.135316,0.13986271619796753,0.27972543239593506,0.011460260349133167,14555,cell,3,3,11,100026.0,70086768.0,23486260.0,10.91268125026303,0.7491444750842279,3,11
66,11.39,10.118554,30.993385,0.12751881778240204,0.2550376355648041,0.008685832350518823,14182,cell,0,0,0,71986.0,0.0,0.0,0.0,0.0,0,0
67,7.65,15.560465,9.268255,0.394,0.788,0.25619890827470676,15562,cell,6,6,2,2814606.0,61076672.0,14819896.0,12.676458644431804,0.47628135208390204,6,2
